czas,5_km_tempo_s,10_km_tempo_s,15_km_tempo_s,20_km_tempo_s,tempo_stabilność,płeć,kategoria_wiekowa_num
4520.0,207.6,207.8,217.20000000000002,230.0,0.0255333333333334,1,20
5112.0,237.6,237.6,242.4,259.6,0.0236,1,20
5135.0,234.19999999999996,230.79999999999998,244.19999999999996,268.8,0.0390666666666667,1,20
5169.0,233.6,236.4,246.99999999999997,267.4,0.0373333333333334,1,20
5402.0,238.4,242.8,256.4,283.6000000000001,0.0497333333333333,1,20
5520.0,248.00000000000003,248.39999999999998,265.6,292.0,0.0497333333333333,1,20
5524.0,258.6,249.79999999999998,257.8,283.8,0.0278666666666667,1,20
5587.0,255.6,251.2,268.6000000000001,290.4,0.0406000000000001,1,20
5597.0,251.0,259.2,270.0,287.4,0.04,1,20
5620.0,255.2,248.2,284.8,286.2,0.0431999999999999,1,20
5635.0,263.0,257.6,269.8,287.2,0.0282666666666667,1,20
5669.0,258.0,258.8,273.8,292.0,0.039,1,20
5733.0,250.00000000000003,255.8,276.4,308.2,0.0650666666666666,1,20
5793.0,268.8,257.8,275.8,300.6,0.0378000000000001,1,20
5895.0,282.4,272.6,279.6,293.6,0.0135333333333335,1,20
5947.0,283.2,271.0,281.6,300.8,0.0211333333333334,1,20
5953.0,267.2,273.0,287.8,308.2,0.0459333333333334,1,20
5977.0,268.4,269.6,285.0,317.6,0.0543333333333333,1,20
6043.0,267.8,269.4,289.2,323.0,0.0617999999999999,1,20
6047.0,290.2,276.4,289.0,302.2,0.0162,1,20
6057.0,286.2,281.2,289.6,300.2,0.0168000000000001,1,20
6070.0,285.0,277.8,282.2,311.8,0.0282666666666667,1,20
6105.0,267.6,272.4,297.4,323.2,0.0639333333333333,1,20
6124.0,287.4,281.2,290.6,312.8,0.0285333333333334,1,20
6204.0,289.6,282.4,299.2,317.2,0.0331999999999999,1,20
6211.0,286.4,286.6,295.2,316.4,0.0328666666666667,1,20
6242.0,289.6,286.4,301.8,316.6,0.0321333333333334,1,20
6256.0,286.2,283.6000000000001,299.4,327.6,0.0466666666666666,1,20
6296.0,296.6,287.6,303.0,317.0,0.0255333333333334,1,20
6310.0,287.2,293.8,302.0,325.2,0.0407333333333334,1,20
6334.0,287.8,283.8,303.0,332.0,0.0506000000000001,1,20
6356.0,288.8,285.4,301.4,336.6,0.0531333333333334,1,20
6369.0,286.6,288.6,306.6,332.0,0.0514000000000001,1,20
6374.0,296.2,296.40000000000003,306.2,318.6,0.0256666666666667,1,20
6385.0,291.6,293.0,306.6,328.0,0.0409333333333335,1,20
6400.0,288.6,286.8,300.6,340.4,0.0564,1,20
6409.0,298.8,299.0,303.0,324.8,0.0273333333333334,1,20
6438.0,298.8,296.8,309.2,324.0,0.0293333333333333,1,20
6467.0,291.4,284.8,307.4,348.4,0.0645333333333333,1,20
6483.0,310.0,302.6,308.8,319.4,0.0114666666666667,1,20
6484.0,300.2,292.6,310.0,333.2,0.0388,1,20
6498.0,290.4,294.0,312.0,339.8,0.0554000000000001,1,20
6501.0,289.4,293.4,315.2,341.2,0.0590666666666666,1,20
6501.0,303.2,298.4,309.4,330.8,0.0312666666666667,1,20
6506.0,307.8,301.4,303.6,330.4,0.0233333333333334,1,20
6511.0,307.0,297.4,301.8,335.8,0.0302666666666667,1,20
6513.0,290.4,302.0,313.2,338.8,0.0521333333333334,1,20
6515.0,293.6,293.0,308.6,347.6,0.0592000000000001,1,20
6521.0,299.6,299.2,310.2,334.0,0.0380666666666667,1,20
6551.0,303.8,302.4,314.2,330.2,0.0303333333333333,1,20
6553.0,361.4,357.9,313.4,333.6,0.0448,1,20
6567.0,312.0,304.4,311.40000000000003,328.4,0.0187333333333333,1,20
